市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,卖一价,买一量,卖一量
ZC,CF705,2017-05-04 21:02:15.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15655.0000,15665.0000,12,10
ZC,CF705,2017-05-04 21:02:16.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15655.0000,15665.0000,12,13
ZC,CF705,2017-05-04 21:02:20.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15660.0000,12,3
ZC,CF705,2017-05-04 21:02:25.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15655.0000,15665.0000,10,13
ZC,CF705,2017-05-04 21:02:26.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15655.0000,15665.0000,12,13
ZC,CF705,2017-05-04 21:02:32.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15655.0000,15665.0000,4,13
ZC,CF705,2017-05-04 21:02:33.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15655.0000,15660.0000,12,20
ZC,CF705,2017-05-04 21:02:38.000,15660.0000,52782,0,31320.0000,2,1,1,空换,B,15655.0000,15660.0000,11,19
ZC,CF705,2017-05-04 21:02:38.000,15660.0000,52782,0,31320.0000,2,1,1,空换,B,15650.0000,15660.0000,10,21
ZC,CF705,2017-05-04 21:02:56.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15655.0000,10,3
ZC,CF705,2017-05-04 21:03:01.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15660.0000,10,21
ZC,CF705,2017-05-04 21:03:02.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15655.0000,10,3
ZC,CF705,2017-05-04 21:03:02.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15650.0000,10,3
ZC,CF705,2017-05-04 21:03:10.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15655.0000,10,3
ZC,CF705,2017-05-04 21:03:15.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,10,3
ZC,CF705,2017-05-04 21:03:18.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15650.0000,10,3
ZC,CF705,2017-05-04 21:03:21.000,15640.0000,52782,0,31320.0000,2,1,1,多换,S,15640.0000,15650.0000,9,3
ZC,CF705,2017-05-04 21:03:33.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15650.0000,7,3
ZC,CF705,2017-05-04 21:03:34.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15650.0000,5,3
ZC,CF705,2017-05-04 21:03:35.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15635.0000,15645.0000,9,3
ZC,CF705,2017-05-04 21:03:40.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15630.0000,15640.0000,9,3
ZC,CF705,2017-05-04 21:03:41.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15650.0000,9,3
ZC,CF705,2017-05-04 21:03:42.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15630.0000,15640.0000,9,3
ZC,CF705,2017-05-04 21:03:42.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15630.0000,15640.0000,9,2
ZC,CF705,2017-05-04 21:03:43.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15625.0000,15635.0000,9,3
ZC,CF705,2017-05-04 21:03:44.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15620.0000,15635.0000,9,3
ZC,CF705,2017-05-04 21:03:44.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15625.0000,15635.0000,9,3
ZC,CF705,2017-05-04 21:03:50.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15630.0000,15640.0000,7,3
ZC,CF705,2017-05-04 21:03:51.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15630.0000,15640.0000,4,3
ZC,CF705,2017-05-04 21:03:51.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15625.0000,15635.0000,9,1
ZC,CF705,2017-05-04 21:03:51.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15630.0000,15640.0000,9,3
ZC,CF705,2017-05-04 21:03:54.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15630.0000,15640.0000,4,3
ZC,CF705,2017-05-04 21:03:55.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15630.0000,15640.0000,2,3
ZC,CF705,2017-05-04 21:03:55.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15625.0000,15640.0000,9,3
ZC,CF705,2017-05-04 21:03:55.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15630.0000,15640.0000,9,3
ZC,CF705,2017-05-04 21:03:57.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15630.0000,15640.0000,6,3
ZC,CF705,2017-05-04 21:03:57.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15625.0000,15640.0000,9,3
ZC,CF705,2017-05-04 21:03:58.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15620.0000,15635.0000,9,2
ZC,CF705,2017-05-04 21:03:58.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15625.0000,15635.0000,9,3
ZC,CF705,2017-05-04 21:04:00.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15620.0000,15630.0000,9,3
ZC,CF705,2017-05-04 21:04:01.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15615.0000,15625.0000,9,3
ZC,CF705,2017-05-04 21:04:02.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15615.0000,15625.0000,8,3
ZC,CF705,2017-05-04 21:04:02.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15610.0000,15620.0000,9,3
ZC,CF705,2017-05-04 21:04:04.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15615.0000,15625.0000,9,3
ZC,CF705,2017-05-04 21:04:05.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15610.0000,15620.0000,9,3
ZC,CF705,2017-05-04 21:04:06.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15605.0000,15615.0000,9,3
ZC,CF705,2017-05-04 21:04:07.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15595.0000,15605.0000,9,1
ZC,CF705,2017-05-04 21:04:08.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15595.0000,15610.0000,9,3
ZC,CF705,2017-05-04 21:04:08.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15600.0000,15610.0000,2,3
ZC,CF705,2017-05-04 21:04:09.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15595.0000,15605.0000,9,1
ZC,CF705,2017-05-04 21:04:09.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15595.0000,15605.0000,9,3
ZC,CF705,2017-05-04 21:04:11.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15600.0000,15610.0000,4,3
ZC,CF705,2017-05-04 21:04:11.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15590.0000,15600.0000,9,3
ZC,CF705,2017-05-04 21:04:13.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15595.0000,15605.0000,2,3
ZC,CF705,2017-05-04 21:04:13.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15595.0000,15605.0000,5,3
ZC,CF705,2017-05-04 21:04:14.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15595.0000,15605.0000,9,3
ZC,CF705,2017-05-04 21:04:14.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15595.0000,15610.0000,9,3
ZC,CF705,2017-05-04 21:04:17.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15595.0000,15605.0000,9,3
ZC,CF705,2017-05-04 21:04:18.000,15640.0000,52782,0,0.0000,0,-,-,-,-,15600.0000,15610.0000,9,3
